source,year,household_group,race,black_nonblack,percent_with_student_debt,se_percent_with_student_debt,lower_95_percent_with_student_debt,upper_95_percent_with_student_debt,median_student_debt_positive,se_median_student_debt_positive,lower_95_median_student_debt_positive,upper_95_median_student_debt_positive,mean_student_debt_positive,se_mean_student_debt_positive,lower_95_mean_student_debt_positive,upper_95_mean_student_debt_positive,unweighted_n,weighted_denominator
SIPP,2019,Married household,Other,,11.033024128919184,6.724295521227191,0,24.21264335052448,90000,61913.91873668903,0,211351.2807239105,99672.78523704613,44752.10558850778,11958.658283570883,187386.91219052137,20,209499.5099441
SIPP,2019,Married household,White alone,,13.553606256568763,2.7651603853167983,8.133891901347837,18.97332061178969,26000,7122.873951807187,12039.167054457914,39960.83294554209,69686.11094237253,26477.390372267273,17790.425812728674,121581.79607201638,203,1310034.8135068996
SIPP,2019,Unmarried household,Black alone,,33.531719385870865,24.82580346889301,0,82.19029418490116,35000,0,35000,35000,35000,0,35000,35000,6,46378.075284599996
SIPP,2019,Unmarried household,Other,,31.885480945025986,20.918246159421756,0,72.88524341749263,90000,69221.38397923,0,225673.9125992908,65558.65774547945,22315.899617443247,21819.49449529068,109297.82099566821,5,53688.5716512
SIPP,2019,Unmarried household,White alone,,19.003005276989203,5.613280404517803,8.00097568413431,30.005034869844096,24000,14330.996708766164,0,52088.75354918168,26584.719245659107,8131.560186084409,10646.861280933666,42522.57721038455,76,585771.960895
SIPP,2020,Married household,Black alone,,45.930676723241056,17.691591310304414,11.255157755044408,80.6061956914377,44000,100573.02487910629,0,241123.12876304833,77056.94018067009,23864.688751405734,30282.150227914855,123831.73013342533,12,75691.3852247
SIPP,2020,Married household,Hispanic,,11.77027271079254,12.852938050319004,0,36.96203128941779,20000,0,20000,20000,20000,9.393220889147818e-13,19999.999999999996,20000.000000000004,13,99219.61999479998
SIPP,2020,Married household,Other,,13.116621272071427,6.283979122279794,0.8000221924030306,25.433220351739823,51000,260393.6203135553,0,561371.4958145684,142387.67112348002,84392.54562553592,0,307797.06054953043,34,264304.5302346
SIPP,2020,Married household,White alone,,15.437059156914426,2.3770342536834845,10.778072019694797,20.096046294134055,30000,12047.129671973044,6387.625842932834,53612.37415706717,66505.01733414066,16479.727228509368,34204.7519662623,98805.28270201903,231,1409708.3556016998
SIPP,2020,Unmarried household,Black alone,,51.78047412581345,20.071049709854194,12.441216694499232,91.11973155712766,90000,92945.32442965238,0,272172.83588211867,52087.61062552734,24528.658217542023,4011.440519144977,100163.7807319097,8,76228.673645
SIPP,2020,Unmarried household,Hispanic,,47.30014539435787,24.38037280089813,0,95.0856760841182,17000,123541.288644728,0,259140.92574366688,68557.0547970716,41516.60434030048,0,149929.59930406054,9,70009.52464440001
SIPP,2020,Unmarried household,Other,,0,0,0,0,,0,,,,0,,,12,99716.59028759999
SIPP,2020,Unmarried household,White alone,,14.589841027717188,3.8014727537703585,7.138954430327286,22.040727625107092,16000,26527.030239612828,0,67992.97926964113,38511.61394049502,9677.758900751209,19543.206495022652,57480.0213859674,96,635319.2959115
SIPP,2021,Married household,Black alone,,46.94063903927147,17.695894100936865,12.256686601435213,81.62459147710771,38000,42449.185308240405,0,121200.4032041512,135360.1300120118,87013.37361585676,0,305906.34229909105,9,57579.3668878
SIPP,2021,Married household,Hispanic,,15.868864362256183,10.617834674952292,0,36.67982032516267,8000,17281.01077290716,0,41870.78111489803,15881.830466644002,5964.730806298874,4190.958086298209,27572.702846989792,13,84995.2679757
SIPP,2021,Married household,Other,,19.89985986686968,8.401552955169961,3.4328160747365537,36.3669036590028,65000,78749.4973528932,0,219349.01481167067,108040.31342755423,59749.8308562885,0,225149.9819058797,36,229306.07541849997
SIPP,2021,Married household,White alone,,14.032633820992825,2.3994982788268433,9.329617194492211,18.735650447493438,40000,16135.815649252649,8373.801327464807,71626.19867253519,54302.36215228264,10240.73902606217,34230.51366120079,74374.2106433645,279,1608813.3544500002
SIPP,2021,Unmarried household,Black alone,,16.238228139002224,13.469825549280813,0,42.63908621559261,15000,0,15000,15000,15000,1.7884159756252757e-12,14999.999999999996,15000.000000000004,8,78623.60918759998
SIPP,2021,Unmarried household,Hispanic,,43.5139580467579,15.71156229232847,12.719295953794099,74.3086201397217,88000,103298.23328595703,0,290464.53724047577,67829.43912918215,32210.31197467563,4697.227658817916,130961.65059954638,12,85953.85335139999
SIPP,2021,Unmarried household,Other,,13.232583636531064,10.441286123306675,0,33.69750443821215,30000,13349.78152130838,3834.4282182355782,56165.57178176442,25572.73408974656,4807.459084017886,16150.114285071502,34995.35389442161,17,108673.6975446
SIPP,2021,Unmarried household,White alone,,12.546294935983488,3.541718668430326,5.604526345860049,19.488063526106927,44000,12784.756548327387,18941.87716527832,69058.12283472168,56097.98986060719,12914.741223011382,30785.09706350488,81410.8826577095,113,656677.7191536
SIPP,2022,Married household,Black alone,,49.437176655668694,16.801409260566047,16.506414504959245,82.36793880637813,61000,125230.12150969643,0,306451.038159005,137127.18256421693,79247.30550156589,0,292451.90134728607,11,138016.35628190002
SIPP,2022,Married household,Hispanic,,30.918812217535148,12.307221920423686,6.796657253504723,55.04096718156558,299000,265358.593856188,0,819102.8439581285,182042.21724143266,64640.823931495244,55346.20233570199,308738.23214716336,22,179152.7518589
SIPP,2022,Married household,Other,,17.45970403947488,7.0376207129418935,3.6659674421087676,31.253440636840992,60000,297054.8770850262,0,642227.5590866513,149582.12816976692,60665.5043159085,30677.739710586247,268486.5166289476,46,411926.57336970017
SIPP,2022,Married household,White alone,,13.825266657839489,2.2768548528866206,9.362631146181712,18.287902169497265,25800,15351.134594333194,0,55888.22380489306,61641.94512738833,14027.55129934662,34147.94458066896,89135.9456741077,294,2219679.057253399
SIPP,2022,Unmarried household,Black alone,,43.65281463153939,22.262817000908115,0.017693309759486908,87.2879359533193,27000,3966.5266081716045,19225.607847983654,34774.39215201634,28606.3800491937,1390.6106275986704,25880.783219100307,31331.976879287093,7,92350.8786576
SIPP,2022,Unmarried household,Hispanic,,52.21756764783125,17.671372301228356,17.581677937423677,86.85345735823883,40000,36892.12879011818,0,112308.57242863163,63036.212968093016,26751.010053027443,10604.23326415923,115468.19267202681,9,63105.793783500005
SIPP,2022,Unmarried household,Other,,16.89137136232469,12.36513422517394,0,41.12703444366561,5380,2870.0662013270703,0,11005.329754601058,6557.697625711218,983.4261039981403,4630.182461874863,8485.212789547573,17,117166.3044449
SIPP,2022,Unmarried household,White alone,,21.3804781459939,5.353151315495291,10.888301567623131,31.872654724364672,57000,29482.763325938995,0,114786.21611884043,62829.63743314743,10392.709560848416,42459.92669388454,83199.34817241032,97,821443.1532370002
SIPP,2023,Married household,Black alone,,43.05804541157381,22.843352229861694,0,87.83101578210272,57000,46837.484987987984,0,148801.47057645646,41142.73174497489,14607.127161304928,12512.762508817228,69772.70098113254,7,64553.34334110001
SIPP,2023,Married household,Hispanic,,43.94686655806325,12.257368344216268,19.922424603399364,67.97130851272713,56000,249277.58957970262,0,544584.0755762171,136534.84201700942,47352.08680211328,43724.75188486739,229344.93214915146,20,207231.95493170002
SIPP,2023,Married household,Other,,10.827535378091513,4.726386731502523,1.5638173843465673,20.09125337183646,37500,244538.6302134423,0,516795.71521834686,126523.05013607339,48931.71141625674,30616.895760210187,222429.20451193658,33,343965.27271070005
SIPP,2023,Married household,White alone,,15.11285485241331,2.462151555855159,10.2870378029372,19.93867190188942,30000,17361.048355442133,0,64027.65477666658,61688.23369623901,15243.184238168258,31811.592589429227,91564.87480304879,252,1869423.167445329
SIPP,2023,Unmarried household,Black alone,,20.15148210993992,12.45126881096803,0,44.55596897943725,35000,0,35000,35000,35000,0,35000,35000,6,73622.242022
SIPP,2023,Unmarried household,Hispanic,,19.27689666831201,13.364383394323749,0,45.471088121186554,22000,6480.74069840786,9297.748231120595,34702.2517688794,19757.431267021893,2058.3891850406994,15722.988464342123,23791.874069701666,12,112697.8099987
SIPP,2023,Unmarried household,Other,,3.0975885354585815,3.0952375804113954,0,9.164254193064917,2000,0,2000,2000,1999.9999999999998,4.832247859453697e-13,1999.9999999999989,2000.0000000000007,18,166966.25011670002
SIPP,2023,Unmarried household,White alone,,13.466313161974245,3.5357343424808345,6.53627385071181,20.396352473236682,95000,47154.70990968629,2576.768577014882,187423.23142298512,103230.64569690147,30168.34239929079,44100.694594291526,162360.5967995114,120,880560.9513369995
SIPP,2024,Married household,Black alone,,16.62451892565215,10.49501309024562,0,37.19474458253356,357000,381900.9251974478,0,1105525.8133869977,207768.713050941,98267.68832570655,15164.043932556175,400373.38216932584,11,189849.34061460002
SIPP,2024,Married household,Hispanic,,48.889665156138406,12.199507465969344,24.978630522838493,72.80069978943831,80000,28536.672312424,24068.122267648956,135931.87773235104,97208.04680630802,32710.22684268793,33096.002194639674,161320.09141797636,21,248338.16633729998
SIPP,2024,Married household,Other,,9.181743825822432,5.329301112577258,0,19.627174006473858,31000,128240.34986435952,0,282351.08573414467,85713.81261865681,51269.318991010536,0,186201.67784103745,35,327951.7115868
SIPP,2024,Married household,White alone,,14.327847480790524,2.231953661392359,9.953218304461501,18.702476657119547,20000,2841.5078156969175,14430.644681234042,25569.355318765956,47957.334289150196,12092.324440957453,24256.378384873587,71658.2901934268,305,2554435.9812699975
SIPP,2024,Unmarried household,Black alone,,4.815226220908519,5.215633590270896,0,15.037868057839475,35000,0,35000,35000,35000,9.393220889147818e-13,35000,35000,10,122745.4076142
SIPP,2024,Unmarried household,Hispanic,,9.58174757357632,8.184215430562906,0,25.622809817479613,130000,131120.17388640088,0,386995.5408173457,76349.13868385204,41431.50303923554,0,157554.88464075368,8,120735.06415680001
SIPP,2024,Unmarried household,Other,,11.498349854625495,9.459612977892252,0,30.03919129129431,50000,194105.1261559055,0,430446.0472655748,111851.05010077011,70848.55041466163,0,250714.2089135069,11,120039.95481880002
SIPP,2024,Unmarried household,White alone,,15.607607083030455,3.9331472777406744,7.8986384186587335,23.316575747402176,50000,18871.93683753737,13011.003798426755,86988.99620157325,77219.70209222182,17268.723762564157,43373.00351759607,111066.40066684756,129,1028004.3437218999
