source,year,household_group,race,black_nonblack,percent_with_student_debt,se_percent_with_student_debt,lower_95_percent_with_student_debt,upper_95_percent_with_student_debt,median_student_debt_positive,se_median_student_debt_positive,lower_95_median_student_debt_positive,upper_95_median_student_debt_positive,mean_student_debt_positive,se_mean_student_debt_positive,lower_95_mean_student_debt_positive,upper_95_mean_student_debt_positive,unweighted_n,weighted_denominator
SIPP,2020,Unmarried household,,Non-Black,15.627277734157124,3.719520077098237,8.33701838304458,22.917537085269668,17000,20705.07184242547,0,57581.94081115392,46420.120442708365,13855.357503443734,19263.619735958644,73576.62114945808,117,805045.4108434997
SIPP,2021,Married household,,Black,46.94063903927147,17.695894100936865,12.256686601435213,81.62459147710771,38000,42449.185308240405,0,121200.4032041512,135360.1300120118,87013.37361585676,0,305906.34229909105,9,57579.3668878
SIPP,2021,Married household,,Non-Black,14.813378457168817,2.3937579736608057,10.121612828793637,19.505144085543996,30000,12413.807433660311,5668.937430025791,54331.06256997421,61091.01714395859,10144.723150232325,41207.35976950324,80974.67451841394,328,1923114.6978442003
SIPP,2021,Unmarried household,,Black,26.779933455546352,14.540867714152704,0,55.28003417528565,15000,87396.98698086412,0,186298.09448249367,49306.655598993384,25700.189034367242,0,99679.02610635318,9,89943.2782086
SIPP,2021,Unmarried household,,Non-Black,14.625407371014814,3.540482844302303,7.6860609961823005,21.564753745847327,33000,13918.213486890718,5720.301565694193,60279.69843430581,53156.99638674207,12743.145559928578,28180.431089282054,78133.56168420208,141,839985.6010286004
SIPP,2022,Married household,,Black,45.805596855037834,16.16905664495318,14.114245830929601,77.49694787914606,61000,125230.12150969643,0,306451.038159005,137127.18256421693,79247.30550156589,0,292451.90134728607,12,148958.63072090002
SIPP,2022,Married household,,Non-Black,15.50779034616984,2.222939878641906,11.150828184031703,19.864752508307976,40000,12549.555104996087,15402.871994207671,64597.12800579233,91568.87071084842,18877.394111024434,54569.178253240534,128568.56316845631,361,2799816.1080429973
SIPP,2022,Unmarried household,,Black,43.65281463153939,22.262817000908115,0.017693309759486908,87.2879359533193,27000,3966.5266081716045,19225.607847983654,34774.39215201634,28606.3800491937,1390.6106275986704,25880.783219100307,31331.976879287093,7,92350.8786576
SIPP,2022,Unmarried household,,Non-Black,22.7980735722469,4.521500633357085,13.935932330867013,31.660214813626787,36000,16817.64945922388,3037.407059921192,68962.59294007882,57982.84519103596,9559.38207817051,39246.45631782176,76719.23406425017,123,1001715.2514654003
SIPP,2023,Married household,,Black,38.209909769554365,21.056175275816543,0,79.48001331015479,57000,46837.484987987984,0,148801.47057645646,41142.73174497489,14607.127161304928,12512.762508817228,69772.70098113254,8,72743.9767802
SIPP,2023,Married household,,Non-Black,17.03005528680086,2.225028397068387,12.668999628546821,21.391110945054898,40000,9637.599977864475,21110.30404338563,58889.69595661437,84157.10088126588,17219.109236443262,50407.64677783709,117906.55498469467,304,2412429.7616486307
SIPP,2023,Unmarried household,,Black,17.783499903563285,11.766113195701115,0,40.84508176713747,35000,0,35000,35000,35000,0,35000,35000,7,83425.49560240001
SIPP,2023,Unmarried household,,Non-Black,12.645420003251212,3.0602102810526195,6.647407852388079,18.643432154114347,60000,56563.68092689867,0,170864.81461672139,87166.21905909343,26136.265099142383,35939.139464774365,138393.2986534125,149,1150421.7578719994
SIPP,2024,Married household,,Black,16.62451892565215,10.49501309024562,0,37.19474458253356,357000,381900.9251974478,0,1105525.8133869977,207768.713050941,98267.68832570655,15164.043932556175,400373.38216932584,11,189849.34061460002
SIPP,2024,Married household,,Non-Black,16.530322317378452,2.2340012824834474,12.151679803710895,20.90896483104601,23000,7907.043273773917,7502.195183403124,38497.80481659688,61708.564326199354,12756.775197325614,36705.284939441146,86711.84371295756,361,3130725.859194096
SIPP,2024,Unmarried household,,Black,4.815226220908519,5.215633590270896,0,15.037868057839475,35000,0,35000,35000,35000,9.393220889147818e-13,35000,35000,10,122745.4076142
SIPP,2024,Unmarried household,,Non-Black,14.645416474952743,3.4834704435510644,7.817814405592657,21.47301854431283,50000,16214.705259938173,18219.17769052118,81780.82230947883,79737.9292542552,15633.613177060673,49096.04742721628,110379.81108129412,148,1268779.3626974996
